"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2023","14,939.95","14,965.55","14,982.12","14,876.98","225.75M","-0.16%"
"06/28/2023","14,964.58","14,876.65","15,051.00","14,867.93","246.25M","0.12%"
"06/27/2023","14,945.91","14,751.70","14,972.01","14,728.28","268.56M","1.75%"
"06/26/2023","14,689.02","14,867.46","14,982.22","14,687.42","265.19M","-1.36%"
"06/23/2023","14,891.48","14,875.29","14,983.13","14,822.26","419.91M","-1.00%"
"06/22/2023","15,042.32","14,797.89","15,044.22","14,794.95","233.94M","1.18%"
"06/21/2023","14,867.45","15,018.76","15,037.79","14,827.95","308.36M","-1.35%"
"06/20/2023","15,070.15","15,035.04","15,126.58","14,946.72","290.28M","-0.09%"
"06/16/2023","15,083.92","15,271.51","15,282.40","15,073.45","770.65M","-0.67%"
"06/15/2023","15,185.48","14,950.37","15,246.38","14,930.80","320.36M","1.20%"
"06/14/2023","15,005.69","14,895.06","15,016.09","14,785.54","308.26M","0.70%"
"06/13/2023","14,900.85","14,911.26","14,930.91","14,771.79","274.78M","0.79%"
"06/12/2023","14,784.30","14,617.35","14,789.60","14,571.80","283.43M","1.76%"
"06/09/2023","14,528.36","14,574.97","14,671.93","14,488.01","257.89M","0.30%"
"06/08/2023","14,484.54","14,319.24","14,502.99","14,315.98","252.28M","1.27%"
"06/07/2023","14,303.29","14,573.27","14,645.95","14,283.88","334.21M","-1.75%"
"06/06/2023","14,558.09","14,529.04","14,593.50","14,476.99","248.53M","0.01%"
"06/05/2023","14,556.50","14,552.36","14,662.95","14,516.88","253.81M","0.07%"
"06/02/2023","14,546.64","14,517.15","14,595.01","14,442.76","273.39M","0.73%"
"06/01/2023","14,441.51","14,270.07","14,492.75","14,220.03","313.72M","1.31%"
"05/31/2023","14,254.09","14,293.56","14,374.15","14,216.16","613.16M","-0.70%"
"05/30/2023","14,354.99","14,465.59","14,520.17","14,301.08","307.22M","0.40%"
"05/26/2023","14,298.41","13,985.63","14,328.63","13,982.65","353.47M","2.58%"
"05/25/2023","13,938.53","13,920.38","13,986.69","13,814.43","341.17M","2.46%"
"05/24/2023","13,604.48","13,588.01","13,655.55","13,520.94","230.58M","-0.50%"
"05/23/2023","13,672.54","13,774.22","13,826.95","13,663.15","240.68M","-1.28%"
"05/22/2023","13,849.74","13,804.74","13,893.28","13,794.24","226.57M","0.34%"
"05/19/2023","13,803.49","13,842.71","13,873.99","13,764.13","266.14M","-0.22%"
"05/18/2023","13,834.62","13,610.25","13,844.40","13,606.92","276.35M","1.81%"
"05/17/2023","13,589.26","13,474.52","13,608.33","13,419.35","253.36M","1.22%"
"05/16/2023","13,426.01","13,385.18","13,498.44","13,385.18","209.43M","0.09%"
"05/15/2023","13,413.51","13,352.26","13,419.71","13,298.14","200.10M","0.55%"
"05/12/2023","13,340.17","13,408.40","13,427.22","13,256.57","223.16M","-0.37%"
"05/11/2023","13,389.78","13,378.34","13,411.70","13,306.14","245.00M","0.31%"
"05/10/2023","13,347.83","13,308.42","13,384.32","13,205.71","285.78M","1.11%"
"05/09/2023","13,201.11","13,228.06","13,254.59","13,193.88","230.23M","-0.68%"
"05/08/2023","13,291.64","13,247.09","13,302.10","13,193.79","209.64M","0.25%"
"05/05/2023","13,259.13","13,070.70","13,291.11","13,060.31","264.70M","2.13%"
"05/04/2023","12,982.48","13,013.81","13,064.02","12,941.31","242.68M","-0.37%"
"05/03/2023","13,030.21","13,123.10","13,230.99","13,026.04","256.28M","-0.64%"
"05/02/2023","13,113.66","13,227.32","13,241.35","13,047.03","246.76M","-0.89%"
"05/01/2023","13,231.47","13,231.40","13,287.47","13,186.72","210.99M","-0.11%"
"04/28/2023","13,245.99","13,139.35","13,247.39","13,096.93","300.70M","0.65%"
"04/27/2023","13,160.03","12,963.21","13,175.62","12,938.50","319.31M","2.76%"
"04/26/2023","12,806.49","12,866.64","12,929.62","12,783.42","292.22M","0.64%"
"04/25/2023","12,725.11","12,905.09","12,933.28","12,724.24","261.53M","-1.89%"
"04/24/2023","12,969.76","12,981.71","13,044.23","12,883.77","199.01M","-0.24%"
"04/21/2023","13,000.77","12,970.73","13,030.85","12,899.94","236.29M","0.11%"
"04/20/2023","12,985.98","12,960.87","13,107.92","12,934.16","261.08M","-0.78%"
"04/19/2023","13,088.71","12,991.32","13,127.52","12,989.21","193.12M","-0.02%"
"04/18/2023","13,091.79","13,180.32","13,195.42","13,044.23","196.42M","0.03%"
"04/17/2023","13,087.71","13,052.98","13,104.54","12,981.33","200.60M","0.06%"
"04/14/2023","13,079.52","13,044.69","13,151.55","12,963.27","207.01M","-0.23%"
"04/13/2023","13,109.39","12,923.12","13,124.25","12,921.52","230.32M","2.03%"
"04/12/2023","12,848.35","13,046.05","13,071.61","12,833.63","236.16M","-0.89%"
"04/11/2023","12,964.16","13,040.93","13,049.45","12,947.88","205.96M","-0.67%"
"04/10/2023","13,051.23","12,936.52","13,051.23","12,862.21","197.14M","-0.09%"
"04/06/2023","13,062.60","12,886.96","13,078.03","12,847.13","229.27M","0.74%"
