"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2023","7.79","7.88","7.88","7.68","11.50M","-0.13%"
"06/28/2023","7.80","7.63","7.99","7.58","23.36M","1.96%"
"06/27/2023","7.65","7.39","7.70","7.33","21.02M","4.65%"
"06/26/2023","7.31","7.52","7.58","7.22","20.04M","-3.31%"
"06/23/2023","7.56","7.40","7.70","7.36","166.41M","0.93%"
"06/22/2023","7.49","7.64","7.72","7.45","25.86M","-2.85%"
"06/21/2023","7.71","7.71","7.76","7.50","24.26M","0.39%"
"06/20/2023","7.68","7.55","7.74","7.54","29.37M","1.86%"
"06/16/2023","7.54","7.44","7.58","7.37","22.10M","1.75%"
"06/15/2023","7.41","7.27","7.49","7.24","18.20M","0.82%"
"06/14/2023","7.35","7.53","7.54","7.20","26.07M","-2.52%"
"06/13/2023","7.54","7.66","7.67","7.36","20.94M","-1.05%"
"06/12/2023","7.62","7.52","7.68","7.49","16.68M","1.74%"
"06/09/2023","7.49","7.30","7.56","7.23","35.30M","3.03%"
"06/08/2023","7.27","7.35","7.45","7.26","17.30M","-1.62%"
"06/07/2023","7.39","7.14","7.55","7.10","36.50M","3.65%"
"06/06/2023","7.13","6.94","7.15","6.91","20.40M","3.03%"
"06/05/2023","6.92","6.95","6.98","6.77","17.53M","-0.72%"
"06/02/2023","6.97","6.85","7.03","6.85","25.54M","2.05%"
"06/01/2023","6.83","6.65","6.87","6.61","24.17M","1.34%"
"05/31/2023","6.74","6.65","6.80","6.60","15.80M","-0.15%"
"05/30/2023","6.75","6.83","6.93","6.72","17.43M","-0.59%"
"05/26/2023","6.79","6.92","6.99","6.72","23.24M","-1.74%"
"05/25/2023","6.91","6.81","7.07","6.78","27.47M","1.47%"
"05/24/2023","6.81","6.76","6.88","6.65","36.74M","-0.44%"
"05/23/2023","6.84","6.64","7.09","6.62","53.24M","3.01%"
"05/22/2023","6.64","6.46","6.74","6.45","30.93M","1.84%"
"05/19/2023","6.52","6.44","6.59","6.36","41.92M","2.03%"
"05/18/2023","6.39","6.03","6.47","6.02","53.41M","3.40%"
"05/17/2023","6.18","6.18","6.22","5.80","44.31M","1.31%"
"05/16/2023","6.10","6.51","6.92","6.06","99.57M","0.16%"
"05/15/2023","6.09","5.85","6.15","5.79","38.93M","4.82%"
"05/12/2023","5.81","5.91","5.99","5.79","18.77M","-1.69%"
"05/11/2023","5.91","5.94","5.95","5.84","14.80M","0.00%"
"05/10/2023","5.91","5.86","5.94","5.80","21.32M","1.55%"
"05/09/2023","5.82","5.85","5.88","5.73","22.06M","-1.69%"
"05/08/2023","5.92","5.49","5.98","5.48","45.63M","8.42%"
"05/05/2023","5.46","5.33","5.59","5.30","31.16M","4.20%"
"05/04/2023","5.24","5.19","5.31","5.18","14.05M","1.16%"
"05/03/2023","5.18","5.18","5.29","5.14","16.73M","-0.19%"
"05/02/2023","5.19","5.35","5.38","5.16","21.05M","-3.17%"
"05/01/2023","5.36","5.19","5.39","5.15","26.03M","3.88%"
"04/28/2023","5.16","5.00","5.20","4.96","21.55M","2.18%"
"04/27/2023","5.05","4.98","5.14","4.94","19.77M","2.23%"
"04/26/2023","4.94","4.95","5.03","4.91","10.36M","0.41%"
"04/25/2023","4.92","4.88","4.99","4.85","13.74M","0.00%"
"04/24/2023","4.92","4.94","5.01","4.85","13.96M","-1.40%"
"04/21/2023","4.99","4.85","5.02","4.84","18.45M","2.04%"
"04/20/2023","4.89","4.79","4.89","4.69","14.49M","0.62%"
"04/19/2023","4.86","4.80","4.88","4.77","14.08M","0.00%"
"04/18/2023","4.86","4.61","4.90","4.60","28.60M","6.81%"
"04/17/2023","4.55","4.63","4.71","4.51","14.00M","-2.36%"
"04/14/2023","4.66","4.72","4.77","4.59","14.66M","-0.21%"
"04/13/2023","4.67","4.42","4.78","4.42","23.46M","5.66%"
"04/12/2023","4.42","4.60","4.63","4.39","19.41M","-3.28%"
"04/11/2023","4.57","4.54","4.65","4.52","13.54M","1.11%"
"04/10/2023","4.52","4.45","4.54","4.40","9.99M","0.89%"
